Body,Category,cleaned_comment
Sound and camera quality,Product Issue,sound camera quality
More times mobile hang and poor selfie camera,Other Issue,times mobile hang poor selfie camera
Green line,Other Issue,green line
Phone net slow my phone Net slow,Other Issue,phone net slow phone net slow
Very very worst product,Other Issue,worst product
Slow phone,Other Issue,slow phone
Bad quality,Product Issue,bad quality
Batterybackup too bad,Other Issue,batterybackup bad
Bahut bekar mobile hai,Other Issue,bahut bekar mobile hai
Waste of money for this price,Other Issue,waste money price
Heating problem,Other Issue,heating problem
Single sim phone,Other Issue,single sim phone
REDMI NOTE 13>5G,Other Issue,redmi note g
Comlete waste,Other Issue,comlete waste
Bad experience with this mobile,Other Issue,bad experience mobile
"Â ?? ??? ??? ???, ?? ??? ????",Other Issue,
I have receivrd a defective mobile and now I am not getting a replacement,Product Issue,receivrd defective mobile getting replacement
Review after using for 8 months,Other Issue,review using months
Amazon is cheating,Other Issue,amazon cheating
Front camera issue,Other Issue,front camera issue
Way better options at this price.,Other Issue,way better options price
charging hitting problem,Other Issue,charging hitting problem
very nice phone,Other Issue,nice phone
Battery issue,Other Issue,battery issue
Perfect buy,Other Issue,perfect buy
UI is slow,Other Issue,ui slow
product look and camera quality is good,Product Issue,product look camera quality good
Nice,Other Issue,nice
Ok,Other Issue,ok
